Node	node_type	bigg_id	universal_bigg_id	metabolite_name	Super.class	bigg_model_list	database_links
Glycerol 3-phosphate	metabolite	glyc3p_e	glyc3p	Glycerol 3-phosphate	Lipids and lipid-like molecules	Recon3D; iEC1356_Bl21DE3; iEK1008; iEC1349_Crooks; iML1515; iNF517; iEC1364_W; iYS854; iYS1720; iEC1344_C; iCN718; iEC1368_DH5a; iEC1372_W3110; iECO103_1326; iECOK1_1307; iECO111_1330; iECO26_1355; iECS88_1305; iECSE_1348; iECIAI1_1343; iECNA114_1301; iECs_1301; iECIAI39_1322; iECP_1309; iEcolC_1368; iECABU_c1320; iEcE24377_1341; iEcDH1_1363; iECBD_1354; iECDH10B_1368; iEcHS_1320; iECH74115_1262; iECED1_1282; iEC55989_1330; iECB_1328; iECDH1ME8569_1439; iECD_1391; iB21_1397; iBWG_1329; iSB619; iJO1366; iNJ661; iPC815; iE2348C_1286; ic_1306; iAF1260; iSF_1195; iEC042_1314; iAPECO1_1312; iAF1260b; iLJ478; STM_v1_0; iY75_1357; iYO844; iNRG857_1313; iECW_1372; iEKO11_1354; iECUMN_1333; iS_1188; iEcSMS35_1347; iG2583_1286; iECSP_1301; iLF82_1304; iETEC_1333; iECSF_1327; iWFL_1372; iSBO_1134; iJR904; iSSON_1240; iSDY_1059; iUMN146_1321; iZ_1308; iSFV_1184; iSFxv_1172; iYL1228; iUTI89_1310; iSbBS512_1146; iUMNK88_1353	Reactome Compound: http://identifiers.org/reactome/R-ALL-188458; Reactome Compound: http://identifiers.org/reactome/R-ALL-76114; InChI Key: https://identifiers.org/inchikey/AWUCVROLDVIAJX-GSVOUGTGSA-L; KEGG Compound: http://identifiers.org/kegg.compound/C00093; CHEBI: http://identifiers.org/chebi/CHEBI:10648; CHEBI: http://identifiers.org/chebi/CHEBI:12843; CHEBI: http://identifiers.org/chebi/CHEBI:12848; CHEBI: http://identifiers.org/chebi/CHEBI:15978; CHEBI: http://identifiers.org/chebi/CHEBI:26705; CHEBI: http://identifiers.org/chebi/CHEBI:42793; CHEBI: http://identifiers.org/chebi/CHEBI:57597; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00126; Human Metabolome Database: http://identifiers.org/hmdb/HMDB02722; BioCyc: http://identifiers.org/biocyc/META:GLYCEROL-3P; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM66; SEED Compound: http://identifiers.org/seed.compound/cpd00080
Glycogen  4 units  linear glucan	metabolite	glyg4n_c	glyg4n	Glycogen  4 units  linear glucan	Organic oxygen compounds	iJN1463	
Hexanoyl-CoA (n-C6:0CoA)	metabolite	hxcoa_c	hxcoa	Hexanoyl-CoA (n-C6:0CoA)	Lipids and lipid-like molecules	iEC1368_DH5a; iYS1720; iEC1344_C; iEC1372_W3110; iJN1463; iECP_1309; iECO111_1330; iECOK1_1307; iECIAI39_1322; iECS88_1305; iECIAI1_1343; iECNA114_1301; iECO26_1355; iEcolC_1368; iECSE_1348; iECO103_1326; iECs_1301; Recon3D; iEC1364_W; iEC1356_Bl21DE3; iEC1349_Crooks; iML1515; iECSF_1327; iEKO11_1354; iETEC_1333; iEcSMS35_1347; iS_1188; iECW_1372; iECSP_1301; iECUMN_1333; iNRG857_1313; iLF82_1304; iG2583_1286; iAF1260b; STM_v1_0; iY75_1357; iAF987; iYO844; iSSON_1240; iUTI89_1310; iSFV_1184; iSDY_1059; iSbBS512_1146; iSBO_1134; iSFxv_1172; iUMN146_1321; iWFL_1372; iYL1228; iUMNK88_1353; iZ_1308; iAPECO1_1312; iJN746; iSB619; iE2348C_1286; iAF1260; iB21_1397; iEC042_1314; iPC815; ic_1306; iSF_1195; iJO1366; iBWG_1329; iECB_1328; iEcHS_1320; iECD_1391; iECBD_1354; iECED1_1282; iEcDH1_1363; iECDH1ME8569_1439; iECDH10B_1368; iECH74115_1262; iECABU_c1320; iEcE24377_1341; iEC55989_1330	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM162502
Hydrogen	metabolite	h2_e	h2	Hydrogen	Homogeneous non-metal compounds	iWFL_1372; iSDY_1059; iUMNK88_1353; iSFxv_1172; iYL1228; iUMN146_1321; iUTI89_1310; iSBO_1134; iSFV_1184; iSSON_1240; iSbBS512_1146; iZ_1308; iECED1_1282; iECH74115_1262; iECDH1ME8569_1439; iEcE24377_1341; iECDH10B_1368; iECABU_c1320; iEcHS_1320; iECBD_1354; iEcDH1_1363; iECD_1391; iEC55989_1330; iECB_1328; iEC1344_C; iCN900; iSynCJ816; iEC1368_DH5a; iEC1372_W3110; iYS1720; iEK1008; iEC1364_W; iEC1356_Bl21DE3; iLB1027_lipid; iEC1349_Crooks; iML1515; iECIAI39_1322; iECO111_1330; iECs_1301; iECIAI1_1343; iEcolC_1368; iECOK1_1307; iECP_1309; iECO26_1355; iECSE_1348; iECO103_1326; iECS88_1305; iECNA114_1301; iECUMN_1333; iG2583_1286; iEcSMS35_1347; iECSF_1327; iETEC_1333; iNRG857_1313; iLF82_1304; iECW_1372; iEKO11_1354; iECSP_1301; iS_1188; iEC042_1314; iAPECO1_1312; iNJ661; iBWG_1329; iAF1260; ic_1306; iJO1366; iIT341; iE2348C_1286; iB21_1397; iSF_1195; iPC815; iJN746; iRC1080; STM_v1_0; iAF1260b; iAF987; iHN637; iY75_1357; iAF692; iLJ478; iJN678	Reactome Compound: http://identifiers.org/reactome/R-ALL-113555; KEGG Compound: http://identifiers.org/kegg.compound/C00282; CHEBI: http://identifiers.org/chebi/CHEBI:13350; CHEBI: http://identifiers.org/chebi/CHEBI:18276; CHEBI: http://identifiers.org/chebi/CHEBI:25363; CHEBI: http://identifiers.org/chebi/CHEBI:29294; CHEBI: http://identifiers.org/chebi/CHEBI:29298; CHEBI: http://identifiers.org/chebi/CHEBI:29299; CHEBI: http://identifiers.org/chebi/CHEBI:5785; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01362; BioCyc: http://identifiers.org/biocyc/META:HYDROGEN-MOLECULE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM195; InChI Key: https://identifiers.org/inchikey/UFHFLCQGNIYNRP-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd11640
Hydroxypyruvate	metabolite	hpyr_c	hpyr	Hydroxypyruvate	Organic acids and derivatives	ic_1306; iBWG_1329; iAF1260; iPC815; iSB619; iE2348C_1286; iB21_1397; iJN746; iSF_1195; iEC042_1314; iJO1366; iAPECO1_1312; iECD_1391; iECABU_c1320; iECDH10B_1368; iEcHS_1320; iEcDH1_1363; iECBD_1354; iECB_1328; iECDH1ME8569_1439; iEC55989_1330; iECED1_1282; iECH74115_1262; iEcE24377_1341; iEC1368_DH5a; iCN718; iEC1372_W3110; iYS1720; iSynCJ816; iJN1463; iCN900; iEC1364_W; iEC1344_C; iJR904; iYL1228; iSFV_1184; iUMN146_1321; iSBO_1134; iSbBS512_1146; iZ_1308; iSSON_1240; iUTI89_1310; iWFL_1372; iSDY_1059; iSFxv_1172; iUMNK88_1353; iEcSMS35_1347; iNRG857_1313; iG2583_1286; iS_1188; iECUMN_1333; iECW_1372; iECSP_1301; iETEC_1333; iEKO11_1354; iLF82_1304; iECSE_1348; iECSF_1327; iEC1349_Crooks; iYS854; iCHOv1_DG44; iJB785; iML1515; iEC1356_Bl21DE3; Recon3D; iECNA114_1301; iECO103_1326; iEcolC_1368; iECIAI39_1322; iECP_1309; iECO111_1330; iECs_1301; iECS88_1305; iECIAI1_1343; iECOK1_1307; iECO26_1355; iJN678; iMM1415; iCHOv1; RECON1; STM_v1_0; iLJ478; iRC1080; iY75_1357; iAF1260b	KEGG Compound: http://identifiers.org/kegg.compound/C00168; CHEBI: http://identifiers.org/chebi/CHEBI:11837; CHEBI: http://identifiers.org/chebi/CHEBI:14425; CHEBI: http://identifiers.org/chebi/CHEBI:17180; CHEBI: http://identifiers.org/chebi/CHEBI:20082; CHEBI: http://identifiers.org/chebi/CHEBI:20083; CHEBI: http://identifiers.org/chebi/CHEBI:30841; CHEBI: http://identifiers.org/chebi/CHEBI:39999; CHEBI: http://identifiers.org/chebi/CHEBI:5813; InChI Key: https://identifiers.org/inchikey/HHDDCCUIIUWNGJ-UHFFFAOYSA-M; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01352; BioCyc: http://identifiers.org/biocyc/META:OH-PYR; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM392; SEED Compound: http://identifiers.org/seed.compound/cpd00145
Inorganic triphosphate	metabolite	pppi_c	pppi	Inorganic triphosphate	Homogeneous non-metal compounds	iLB1027_lipid; iCHOv1; iJB785; Recon3D; iEC1349_Crooks; iNF517; iEC1356_Bl21DE3; iML1515; iYS854; iEK1008; iAM_Pk459; iSynCJ816; iEC1364_W; iAM_Pc455; iCN900; iYS1720; iEC1372_W3110; iEC1368_DH5a; iEC1344_C; iAM_Pf480; iCN718; iAM_Pv461; iJN1463; iAM_Pb448; iNRG857_1313; iLF82_1304; iETEC_1333; iEKO11_1354; iECSP_1301; iECSF_1327; iECSE_1348; iECUMN_1333; iECW_1372; iEcSMS35_1347; iS_1188; iG2583_1286; iEcDH1_1363; iECED1_1282; iECDH10B_1368; iECD_1391; iECABU_c1320; iECH74115_1262; iECDH1ME8569_1439; iECB_1328; iEcE24377_1341; iECBD_1354; iEC55989_1330; iEcHS_1320; iECs_1301; iECNA114_1301; iECOK1_1307; iECIAI1_1343; iECO111_1330; iECS88_1305; iECP_1309; iEcolC_1368; iECO103_1326; iECIAI39_1322; iECO26_1355; iAF987; iLJ478; RECON1; iMM1415; iYO844; STM_v1_0; iY75_1357; iAF692; iAF1260b; iHN637; iJN678; iYL1228; iEC042_1314; iBWG_1329; iPC815; iSB619; iAF1260; iE2348C_1286; iAPECO1_1312; iB21_1397; iNJ661; ic_1306; iJO1366; iSF_1195; iJN746; iSBO_1134; iSSON_1240; iUMN146_1321; iUTI89_1310; iSFxv_1172; iSDY_1059; iSbBS512_1146; iUMNK88_1353; iWFL_1372; iZ_1308; iSFV_1184; iJR904	KEGG Compound: http://identifiers.org/kegg.compound/C00536; CHEBI: http://identifiers.org/chebi/CHEBI:18036; CHEBI: http://identifiers.org/chebi/CHEBI:29203; CHEBI: http://identifiers.org/chebi/CHEBI:39942; CHEBI: http://identifiers.org/chebi/CHEBI:39949; CHEBI: http://identifiers.org/chebi/CHEBI:48313; CHEBI: http://identifiers.org/chebi/CHEBI:48314; CHEBI: http://identifiers.org/chebi/CHEBI:48315; CHEBI: http://identifiers.org/chebi/CHEBI:48316; CHEBI: http://identifiers.org/chebi/CHEBI:5926; CHEBI: http://identifiers.org/chebi/CHEBI:9744; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03379; Human Metabolome Database: http://identifiers.org/hmdb/HMDB12282; BioCyc: http://identifiers.org/biocyc/META:P3I; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM332; InChI Key: https://identifiers.org/inchikey/UNXRWKVEANCORM-UHFFFAOYSA-I; SEED Compound: http://identifiers.org/seed.compound/cpd00421; SEED Compound: http://identifiers.org/seed.compound/cpd11672
L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3	metabolite	1p3h5c_c	1p3h5c	L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3	Organic acids and derivatives	Recon3D; iCHOv1_DG44; iJB785; iYS854; iJN678; iLJ478; iCHOv1; iYO844; iAF987; iND750; iMM904; iIT341; iAM_Pk459; iCN718; iAM_Pf480; iAM_Pv461; iAM_Pb448; iAM_Pc455; iSynCJ816	KEGG Compound: http://identifiers.org/kegg.compound/C04281; CHEBI: http://identifiers.org/chebi/CHEBI:6151; CHEBI: http://identifiers.org/chebi/CHEBI:62612; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62585; BioCyc: http://identifiers.org/biocyc/META:PYRROLINE-HYDROXY-CARBOXYLATE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM114091; InChI Key: https://identifiers.org/inchikey/WFOFKRKDDKGRIK-DMTCNVIQSA-M; SEED Compound: http://identifiers.org/seed.compound/cpd02625
L Ornithine C5H13N2O2	metabolite	orn__L_c	orn__L	L Ornithine C5H13N2O2	Organic acids and derivatives	iYO844; iNF517; iIS312; iIS312_Epimastigote; iIS312_Trypomastigote; iIS312_Amastigote	Reactome Compound: http://identifiers.org/reactome/R-ALL-113585; Reactome Compound: http://identifiers.org/reactome/R-ALL-113586; Reactome Compound: http://identifiers.org/reactome/R-ALL-29498; InChI Key: https://identifiers.org/inchikey/AHLPHDHHMVZTML-BYPYZUCNSA-O; KEGG Compound: http://identifiers.org/kegg.compound/C00077; KEGG Compound: http://identifiers.org/kegg.compound/C01602; CHEBI: http://identifiers.org/chebi/CHEBI:11448; CHEBI: http://identifiers.org/chebi/CHEBI:13148; CHEBI: http://identifiers.org/chebi/CHEBI:15729; CHEBI: http://identifiers.org/chebi/CHEBI:18257; CHEBI: http://identifiers.org/chebi/CHEBI:19370; CHEBI: http://identifiers.org/chebi/CHEBI:21367; CHEBI: http://identifiers.org/chebi/CHEBI:32964; CHEBI: http://identifiers.org/chebi/CHEBI:44667; CHEBI: http://identifiers.org/chebi/CHEBI:46911; CHEBI: http://identifiers.org/chebi/CHEBI:46912; CHEBI: http://identifiers.org/chebi/CHEBI:46913; CHEBI: http://identifiers.org/chebi/CHEBI:46914; CHEBI: http://identifiers.org/chebi/CHEBI:6280; CHEBI: http://identifiers.org/chebi/CHEBI:7784; KEGG Drug: http://identifiers.org/kegg.drug/D08302; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00214; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00818; Human Metabolome Database: http://identifiers.org/hmdb/HMDB04984; Human Metabolome Database: http://identifiers.org/hmdb/HMDB32455; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62654; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62718; LipidMaps: http://identifiers.org/lipidmaps/LMFA01100057; BioCyc: http://identifiers.org/biocyc/META:L-ORNITHINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM89689; SEED Compound: http://identifiers.org/seed.compound/cpd00064; SEED Compound: http://identifiers.org/seed.compound/cpd19016
L-Arabinose	metabolite	arab__L_c	arab__L	L-Arabinose	Organic oxygen compounds	iSF_1195; iJO1366; iB21_1397; iNJ661; ic_1306; iND750; iPC815; iBWG_1329; iAF1260; iEC042_1314; iAPECO1_1312; iMM904; iE2348C_1286; iECED1_1282; iEcE24377_1341; iEcHS_1320; iEC55989_1330; iECH74115_1262; iECABU_c1320; iEcDH1_1363; iECB_1328; iECD_1391; iECDH10B_1368; iECBD_1354; iECDH1ME8569_1439; iS_1188; iNRG857_1313; iG2583_1286; iEKO11_1354; iECSF_1327; iETEC_1333; iECSP_1301; iEcSMS35_1347; iLF82_1304; iECUMN_1333; iECSE_1348; iECW_1372; iCN900; iJN1463; iEC1344_C; iEC1364_W; iYS1720; iEC1368_DH5a; iCN718; iEC1372_W3110; iYL1228; iSDY_1059; iUTI89_1310; iSBO_1134; iSFxv_1172; iUMNK88_1353; iWFL_1372; iZ_1308; iSFV_1184; iSSON_1240; iUMN146_1321; iSbBS512_1146; iJR904; iECO111_1330; iECOK1_1307; iEcolC_1368; iECO103_1326; iECS88_1305; iECIAI39_1322; iECP_1309; iECs_1301; iECIAI1_1343; iECNA114_1301; iECO26_1355; iHN637; iRC1080; RECON1; STM_v1_0; iYO844; iMM1415; iAF1260b; iLJ478; iY75_1357; iCHOv1; iCHOv1_DG44; Recon3D; iEC1349_Crooks; iEK1008; iML1515; iEC1356_Bl21DE3; iYS854	KEGG Compound: http://identifiers.org/kegg.compound/C11476; CHEBI: http://identifiers.org/chebi/CHEBI:6182; BioCyc: http://identifiers.org/biocyc/META:CPD-15699; BioCyc: http://identifiers.org/biocyc/META:L-ARABINOSE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM91126; InChI Key: https://identifiers.org/inchikey/PYMYPHUHKUWMLA-VAYJURFESA-N; SEED Compound: http://identifiers.org/seed.compound/cpd19109; SEED Compound: http://identifiers.org/seed.compound/cpd27351
L-Homoserine	metabolite	hom__L_c	hom__L	L-Homoserine	Organic acids and derivatives	iYS1720; iIS312_Amastigote; iEC1364_W; iEC1368_DH5a; iCN900; iEC1372_W3110; iEC1344_C; iIS312_Trypomastigote; iJN1463; iCN718; iIS312_Epimastigote; iIS312; iSynCJ816; iECIAI39_1322; iECO26_1355; iECO111_1330; iECP_1309; iECs_1301; iECO103_1326; iECNA114_1301; iECIAI1_1343; iECOK1_1307; iECS88_1305; iEcolC_1368; iML1515; iNF517; iEC1349_Crooks; iJB785; iYS854; iEK1008; iCHOv1_DG44; iEC1356_Bl21DE3; Recon3D; iECSP_1301; iEKO11_1354; iECUMN_1333; iECSE_1348; iETEC_1333; iNRG857_1313; iS_1188; iEcSMS35_1347; iLF82_1304; iECW_1372; iG2583_1286; iECSF_1327; iYO844; RECON1; iMM1415; STM_v1_0; iAF987; iCHOv1; iLJ478; iAF1260b; iHN637; iY75_1357; iAF692; iJN678; iSSON_1240; iSbBS512_1146; iZ_1308; iSBO_1134; iSDY_1059; iYL1228; iSFxv_1172; iUTI89_1310; iUMNK88_1353; iSFV_1184; iJR904; iUMN146_1321; iWFL_1372; iIT341; iMM904; iSB619; iAF1260; iNJ661; iPC815; iND750; iB21_1397; ic_1306; iBWG_1329; iEC042_1314; iJO1366; iE2348C_1286; iSF_1195; iAPECO1_1312; iJN746; iEcHS_1320; iEcDH1_1363; iECDH10B_1368; iECH74115_1262; iECDH1ME8569_1439; iECED1_1282; iECABU_c1320; iEcE24377_1341; iECD_1391; iECB_1328; iEC55989_1330; iECBD_1354	KEGG Compound: http://identifiers.org/kegg.compound/C00263; CHEBI: http://identifiers.org/chebi/CHEBI:13123; CHEBI: http://identifiers.org/chebi/CHEBI:15699; CHEBI: http://identifiers.org/chebi/CHEBI:21330; CHEBI: http://identifiers.org/chebi/CHEBI:43131; CHEBI: http://identifiers.org/chebi/CHEBI:57476; CHEBI: http://identifiers.org/chebi/CHEBI:6246; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00719; BioCyc: http://identifiers.org/biocyc/META:HOMO-SER; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM353; InChI Key: https://identifiers.org/inchikey/UKAUYVFTDYCKQA-VKHMYHEASA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00227
L-Lactate	metabolite	lac__L_c	lac__L	L-Lactate	Organic acids and derivatives	iAM_Pc455; iEC1372_W3110; iEC1368_DH5a; iYS1720; iCN718; iEC1344_C; iJN1463; iCN900; iAM_Pk459; iAM_Pf480; iAM_Pb448; iEC1364_W; iAM_Pv461; iECs_1301; iECOK1_1307; iECO103_1326; iECP_1309; iECO26_1355; iEcolC_1368; iECO111_1330; iECIAI39_1322; iECIAI1_1343; iECNA114_1301; iECS88_1305; iEcHS_1320; iND750; iMM904; iBWG_1329; iJO1366; iNJ661; ic_1306; iE2348C_1286; iB21_1397; iAPECO1_1312; iAF1260; iIT341; iSB619; iSF_1195; iJN746; iEC042_1314; iPC815; iECSP_1301; iECSE_1348; iECW_1372; iEKO11_1354; iECUMN_1333; iG2583_1286; iEcSMS35_1347; iLF82_1304; iECSF_1327; iETEC_1333; iNRG857_1313; iS_1188; iLJ478; iYL1228; iAF692; iY75_1357; iCHOv1; iMM1415; iAB_RBC_283; iAF987; iAF1260b; STM_v1_0; RECON1; iAT_PLT_636; iYO844; iYS854; iCHOv1_DG44; iEK1008; iML1515; Recon3D; iEC1349_Crooks; iEC1356_Bl21DE3; iNF517; iUTI89_1310; iSFxv_1172; iSDY_1059; iWFL_1372; iZ_1308; iUMNK88_1353; iUMN146_1321; iSSON_1240; iSbBS512_1146; iSBO_1134; iSFV_1184; iJR904; iEcE24377_1341; iECABU_c1320; iECB_1328; iEcDH1_1363; iECD_1391; iECDH10B_1368; iECED1_1282; iECH74115_1262; iEC55989_1330; iECDH1ME8569_1439; iECBD_1354	Reactome Compound: http://identifiers.org/reactome/R-ALL-29708; Reactome Compound: http://identifiers.org/reactome/R-ALL-373863; Reactome Compound: http://identifiers.org/reactome/R-ALL-6807616; KEGG Compound: http://identifiers.org/kegg.compound/C00186; CHEBI: http://identifiers.org/chebi/CHEBI:11065; CHEBI: http://identifiers.org/chebi/CHEBI:12411; CHEBI: http://identifiers.org/chebi/CHEBI:16651; CHEBI: http://identifiers.org/chebi/CHEBI:18783; CHEBI: http://identifiers.org/chebi/CHEBI:422; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00190; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03328; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62492; InChI Key: https://identifiers.org/inchikey/JVTAAEKCZFNVCJ-REOHCLBHSA-M; BioCyc: http://identifiers.org/biocyc/META:L-LACTATE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM179; SEED Compound: http://identifiers.org/seed.compound/cpd00159
L-Leucine	metabolite	leu__L_p	leu__L	L-Leucine	Organic acids and derivatives	iJB785; iEC1349_Crooks; iEC1356_Bl21DE3; iML1515; iEC1372_W3110; iJN1463; iYS1720; iEC1368_DH5a; iSynCJ816; iEC1364_W; iEC1344_C; iECP_1309; iECO26_1355; iECO111_1330; iECNA114_1301; iECIAI1_1343; iECO103_1326; iECS88_1305; iECs_1301; iEcolC_1368; iEcHS_1320; iECOK1_1307; iECIAI39_1322; iECABU_c1320; iECH74115_1262; iEC55989_1330; iECD_1391; iEcE24377_1341; iECDH1ME8569_1439; iEcDH1_1363; iECDH10B_1368; iECED1_1282; iECBD_1354; iECB_1328; iEC042_1314; iAPECO1_1312; iB21_1397; iBWG_1329; iE2348C_1286; iJO1366; iAF1260; iJN746; iSF_1195; iPC815; ic_1306; iJN678; iY75_1357; iYL1228; STM_v1_0; iAF987; iAF1260b; iECUMN_1333; iLF82_1304; iECSF_1327; iECSP_1301; iNRG857_1313; iEcSMS35_1347; iECSE_1348; iG2583_1286; iEKO11_1354; iECW_1372; iETEC_1333; iS_1188; iSSON_1240; iSFV_1184; iWFL_1372; iSbBS512_1146; iZ_1308; iUTI89_1310; iSDY_1059; iSBO_1134; iSFxv_1172; iUMN146_1321; iUMNK88_1353	Reactome Compound: http://identifiers.org/reactome/R-ALL-113580; Reactome Compound: http://identifiers.org/reactome/R-ALL-29588; Reactome Compound: http://identifiers.org/reactome/R-ALL-351964; KEGG Compound: http://identifiers.org/kegg.compound/C00123; KEGG Compound: http://identifiers.org/kegg.compound/C16439; CHEBI: http://identifiers.org/chebi/CHEBI:10866; CHEBI: http://identifiers.org/chebi/CHEBI:13131; CHEBI: http://identifiers.org/chebi/CHEBI:15603; CHEBI: http://identifiers.org/chebi/CHEBI:21348; CHEBI: http://identifiers.org/chebi/CHEBI:25017; CHEBI: http://identifiers.org/chebi/CHEBI:32619; CHEBI: http://identifiers.org/chebi/CHEBI:32620; CHEBI: http://identifiers.org/chebi/CHEBI:32627; CHEBI: http://identifiers.org/chebi/CHEBI:32628; CHEBI: http://identifiers.org/chebi/CHEBI:43646; CHEBI: http://identifiers.org/chebi/CHEBI:43695; CHEBI: http://identifiers.org/chebi/CHEBI:43733; CHEBI: http://identifiers.org/chebi/CHEBI:43814; CHEBI: http://identifiers.org/chebi/CHEBI:57427; CHEBI: http://identifiers.org/chebi/CHEBI:6260; KEGG Drug: http://identifiers.org/kegg.drug/D00030; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00687; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62203; LipidMaps: http://identifiers.org/lipidmaps/LMFA01100048; BioCyc: http://identifiers.org/biocyc/META:LEU; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM140; InChI Key: https://identifiers.org/inchikey/ROHFNLRQFUQHCH-YFKPBYRVSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00107; SEED Compound: http://identifiers.org/seed.compound/cpd15143
L-Lysine	metabolite	lys__L_e	lys__L	L-Lysine	Organic acids and derivatives	iYS1720; iCN900; iIS312_Epimastigote; iCN718; iEC1344_C; iSynCJ816; iAM_Pc455; iAM_Pk459; iIS312_Amastigote; iJN1463; iIS312_Trypomastigote; iIS312; iEC1372_W3110; iEC1368_DH5a; iAM_Pf480; iAM_Pb448; iAM_Pv461; ic_1306; iMM904; iJO1366; iAF1260; iIT341; iAPECO1_1312; iPC815; iE2348C_1286; iJN746; iEC042_1314; iBWG_1329; iSB619; iB21_1397; iND750; iNJ661; iSF_1195; iECUMN_1333; iEKO11_1354; iS_1188; iECSF_1327; iG2583_1286; iECW_1372; iETEC_1333; iLF82_1304; iNRG857_1313; iEcSMS35_1347; iECSP_1301; iECO111_1330; iECS88_1305; iECOK1_1307; iECNA114_1301; iECIAI1_1343; iEcolC_1368; iECIAI39_1322; iECSE_1348; iECP_1309; iECs_1301; iECO26_1355; iECO103_1326; iYL1228; RECON1; STM_v1_0; iAF987; iYO844; iJN678; iAT_PLT_636; iY75_1357; iAF1260b; iAF692; iHN637; iMM1415; iEK1008; iYS854; iCHOv1_DG44; Recon3D; iEC1364_W; iNF517; iEC1349_Crooks; iCHOv1; iEC1356_Bl21DE3; iML1515; iUMNK88_1353; iSDY_1059; iUTI89_1310; iZ_1308; iWFL_1372; iSSON_1240; iSbBS512_1146; iUMN146_1321; iSFV_1184; iSFxv_1172; iJR904; iSBO_1134; iECDH1ME8569_1439; iECDH10B_1368; iEC55989_1330; iEcDH1_1363; iEcHS_1320; iECD_1391; iEcE24377_1341; iECABU_c1320; iECED1_1282; iECB_1328; iECBD_1354; iECH74115_1262	Reactome Compound: http://identifiers.org/reactome/R-ALL-29444; Reactome Compound: http://identifiers.org/reactome/R-ALL-351979; Reactome Compound: http://identifiers.org/reactome/R-ALL-351991; KEGG Compound: http://identifiers.org/kegg.compound/C00047; KEGG Compound: http://identifiers.org/kegg.compound/C16440; CHEBI: http://identifiers.org/chebi/CHEBI:13135; CHEBI: http://identifiers.org/chebi/CHEBI:133538; CHEBI: http://identifiers.org/chebi/CHEBI:18019; CHEBI: http://identifiers.org/chebi/CHEBI:21351; CHEBI: http://identifiers.org/chebi/CHEBI:25094; CHEBI: http://identifiers.org/chebi/CHEBI:32550; CHEBI: http://identifiers.org/chebi/CHEBI:32551; CHEBI: http://identifiers.org/chebi/CHEBI:32552; CHEBI: http://identifiers.org/chebi/CHEBI:32563; CHEBI: http://identifiers.org/chebi/CHEBI:32564; CHEBI: http://identifiers.org/chebi/CHEBI:32565; CHEBI: http://identifiers.org/chebi/CHEBI:43950; CHEBI: http://identifiers.org/chebi/CHEBI:6264; KEGG Drug: http://identifiers.org/kegg.drug/D02304; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00182; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03405; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62809; InChI Key: https://identifiers.org/inchikey/KDXKERNSBIXSRK-YFKPBYRVSA-O; BioCyc: http://identifiers.org/biocyc/META:LYS; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM78; SEED Compound: http://identifiers.org/seed.compound/cpd00039; SEED Compound: http://identifiers.org/seed.compound/cpd19182
